t (s),u (deg),y (deg),current (A)
0.027250,0.161803,0.180054,-0.075684
0.027300,0.136909,0.189819,-0.083618
0.027350,0.107165,0.189209,-0.084229
0.027400,0.073625,0.187988,-0.076752
0.027450,0.037476,0.173340,-0.071259
0.027500,0.000000,0.156250,-0.067444
0.027550,-0.037476,0.135498,-0.054169
0.027600,-0.073625,0.104980,-0.037994
0.027650,-0.107165,0.073853,-0.021362
0.027700,-0.136909,0.043335,-0.007019
0.027750,-0.161803,0.007324,0.005035
0.027800,-0.180965,-0.024414,0.013733
0.027850,-0.193717,-0.059814,0.034790
0.027900,-0.199605,-0.087891,0.048523
0.027950,-0.198423,-0.115967,0.066833
0.028000,-0.190211,-0.139160,0.074921
0.028050,-0.175261,-0.158691,0.083618
0.028100,-0.154103,-0.172729,0.089874
0.028150,-0.127485,-0.175171,0.086060
0.028200,-0.096351,-0.176392,0.084534
0.028250,-0.061803,-0.169067,0.081940
0.028300,-0.025067,-0.154419,0.082245
0.028350,0.012558,-0.137329,0.073547
0.028400,0.049738,-0.112305,0.056915
0.028450,0.085156,-0.084229,0.046387
0.028500,0.117557,-0.053101,0.034790
0.028550,0.145794,-0.017700,0.014343
0.028600,0.168866,0.013428,-0.002441
0.028650,0.185955,0.051270,-0.019531
0.028700,0.196457,0.081787,-0.033875
0.028750,0.200000,0.115356,-0.049286
0.028800,0.196457,0.137329,-0.057526
0.028850,0.185955,0.159302,-0.065765
0.028900,0.168866,0.178223,-0.073547
0.028950,0.145794,0.189209,-0.079498
0.029000,0.117557,0.190430,-0.079651
0.029050,0.085156,0.186768,-0.077209
0.029100,0.049738,0.175781,-0.075073
0.029150,0.012558,0.161133,-0.065308
0.029200,-0.025067,0.141602,-0.057526
0.029250,-0.061803,0.117798,-0.048523
0.029300,-0.096351,0.087280,-0.033112
0.029350,-0.127485,0.057373,-0.015411
0.029400,-0.154103,0.017700,0.000305
0.029450,-0.175261,-0.013428,0.019073
0.029500,-0.190211,-0.048218,0.034485
0.029550,-0.198423,-0.081787,0.044098
0.029600,-0.199605,-0.106201,0.052643
0.029650,-0.193717,-0.136108,0.070038
0.029700,-0.180965,-0.152588,0.080872
0.029750,-0.161803,-0.169067,0.089417
0.029800,-0.136909,-0.173340,0.092773
0.029850,-0.107165,-0.177612,0.089264
0.029900,-0.073625,-0.172729,0.087891
0.029950,-0.037476,-0.159912,0.079041
0.030000,-0.000000,-0.142822,0.072937
0.030050,0.037476,-0.119019,0.059052
0.030100,0.073625,-0.095215,0.050659
0.030150,0.107165,-0.064087,0.039673
0.030200,0.136909,-0.029907,0.020752
0.030250,0.161803,0.003662,0.003815
0.030300,0.180965,0.039673,-0.012512
0.030350,0.193717,0.072632,-0.027466
0.030400,0.199605,0.104370,-0.041809
0.030450,0.198423,0.131226,-0.055847
0.030500,0.190211,0.153198,-0.065613
0.030550,0.175261,0.170288,-0.073395
0.030600,0.154103,0.183105,-0.078125
0.030650,0.127485,0.190430,-0.078430
0.030700,0.096351,0.188599,-0.078125
0.030750,0.061803,0.183105,-0.072174
0.030800,0.025067,0.169678,-0.069733
0.030850,-0.012558,0.148315,-0.061493
0.030900,-0.049738,0.128174,-0.054169
0.030950,-0.085156,0.097046,-0.037079
0.031000,-0.117557,0.065918,-0.019379
0.031050,-0.145794,0.032959,-0.004578
0.031100,-0.168866,-0.002441,0.010376
0.031150,-0.185955,-0.038452,0.026703
0.031200,-0.196457,-0.068359,0.040131
0.031250,-0.200000,-0.100098,0.055084
0.031300,-0.196457,-0.125122,0.067291
0.031350,-0.185955,-0.145874,0.077972
0.031400,-0.168866,-0.161743,0.081024
0.031450,-0.145794,-0.173340,0.087585
0.031500,-0.117557,-0.176392,0.095062
0.031550,-0.085156,-0.175171,0.092926
0.031600,-0.049738,-0.166626,0.084381
0.031650,-0.012558,-0.147705,0.070343
0.031700,0.025067,-0.128174,0.063324
0.031750,0.061803,-0.102539,0.057220
0.031800,0.096351,-0.072632,0.046692
0.031850,0.127485,-0.043945,0.027466
0.031900,0.154103,-0.003052,0.007324
0.031950,0.175261,0.026245,-0.013123
0.032000,0.190211,0.062866,-0.025482
0.032050,0.198423,0.092163,-0.036926
0.032100,0.199605,0.119629,-0.046692
0.032150,0.193717,0.144653,-0.059204
0.032200,0.180965,0.164795,-0.070190
0.032250,0.161803,0.182495,-0.080109
0.032300,0.136909,0.185547,-0.080566
0.032350,0.107165,0.193481,-0.081635
0.032400,0.073625,0.183105,-0.074005
